drawing_category,location,age,participant_id,distance_cat_site,recognized,target_similarity
car,Beijing,9,THU9F35,0.0458984375,True,0.325927734375
cat,Beijing,4,THU5F04,0.06298828125,False,0.2578125
tree,Beijing,4,THU4F09,0.04736328125,False,0.275146484375
bike,Beijing,4,THU4M5,0.072265625,False,0.2509765625
cat,Beijing,9,THU9M47,0.06005859375,True,0.273193359375
tree,Beijing,7,THU7M18,0.0439453125,False,0.2744140625
cup,Beijing,6,THU6F21,0.06591796875,True,0.34521484375
chair,Beijing,4,THU5M5,0.0830078125,False,0.275634765625
tree,Beijing,8,THU9F2,0.02734375,True,0.29296875
tree,Beijing,8,THU9F22,0.05517578125,True,0.3232421875
rabbit,Beijing,8,THU8F34,0.0380859375,True,0.30322265625
hat,Beijing,5,THU5M3,0.08349609375,False,0.274169921875
cup,Beijing,9,THU9M23,0.0244140625,False,0.28076171875
cup,Beijing,4,THU5F6,0.05859375,False,0.23876953125
rabbit,Beijing,9,THU9M5,0.0341796875,True,0.319580078125
hat,Beijing,5,THU5M9,0.05615234375,False,0.297119140625
house,Beijing,6,THU6M2,0.0400390625,False,0.268310546875
car,Beijing,4,THU4M10,0.076171875,False,0.2489013671875
cat,Beijing,6,THU6M3,0.04345703125,False,0.265380859375
watch,Beijing,5,THU5M1,0.0615234375,True,0.2919921875
cup,Beijing,4,THU5M4,0.0390625,False,0.286865234375
tree,Beijing,4,THU4M04,0.11181640625,False,0.2744140625
hat,Beijing,8,THU8M12,0.0390625,True,0.30029296875
watch,Beijing,4,THU5F04,0.03662109375,True,0.30224609375
car,Beijing,7,THU8M16,0.0498046875,False,0.273193359375
rabbit,Beijing,4,THU5M5,0.09326171875,False,0.27294921875
house,Beijing,4,THU4M7,0.10400390625,False,0.23095703125
cup,Beijing,7,THU7F15,0.0390625,True,0.313232421875
car,Beijing,5,THU5M01,0.05615234375,False,0.271240234375
house,Beijing,5,THU5F2,0.04150390625,False,0.29052734375
bike,Beijing,6,1THU6F30,0.09130859375,True,0.33154296875
watch,Beijing,7,THU8F29,0.0498046875,True,0.30517578125
cat,Beijing,9,THU9M46,0.0791015625,False,0.26708984375
cat,Beijing,5,THU6M4,0.0322265625,True,0.2998046875
cup,Beijing,9,THU9M12,0.0634765625,True,0.337646484375
cat,Beijing,6,THU6M21,0.0234375,False,0.275634765625
chair,Beijing,9,THU9M5,0.0810546875,True,0.343994140625
car,Beijing,8,THU9M2,0.0537109375,False,0.274658203125
rabbit,Beijing,8,THU8M1,0.0302734375,True,0.32421875
airplane,Beijing,5,THU5M3,0.03369140625,False,0.28759765625
rabbit,Beijing,4,THU4F8,0.06787109375,False,0.265380859375
tree,Beijing,4,THU5F04,0.06396484375,True,0.286865234375
house,Beijing,8,THU8F12,0.03857421875,True,0.31005859375
cup,Beijing,4,THU4F9,0.0634765625,False,0.2493896484375
hat,Beijing,5,THU5F6,0.05859375,True,0.308837890625
house,Beijing,7,THU7F42,0.0908203125,True,0.29931640625
rabbit,Beijing,7,THU8M16,0.0546875,True,0.29150390625
house,Beijing,7,THU7M46,0.04052734375,True,0.333251953125
airplane,Beijing,8,THU8F13,0.02734375,True,0.310791015625
watch,Beijing,7,THU7F15,0.02978515625,True,0.30029296875
cat,Beijing,7,THU7M18,0.0478515625,False,0.27783203125
airplane,Beijing,4,THU4F8,0.06005859375,True,0.2880859375
watch,Beijing,5,THU5F4,0.056640625,False,0.287353515625
car,Beijing,4,THU4M5,0.06884765625,False,0.256103515625
rabbit,Beijing,8,THU8F14,0.04296875,True,0.3212890625
rabbit,Beijing,9,THU9M15,0.0615234375,True,0.288330078125
hat,Beijing,9,THU9F18,0.04736328125,True,0.288330078125
house,Beijing,9,THU9M39,0.06005859375,True,0.33447265625
hat,Beijing,9,THU9F49,0.08544921875,True,0.271240234375
bike,Beijing,7,THU7M17,0.06494140625,False,0.30078125
house,Beijing,7,THU7F39,0.05224609375,True,0.33447265625
hat,Beijing,6,THU6F19,0.06103515625,True,0.285888671875
car,Beijing,9,THU9M11,0.0615234375,True,0.31298828125
car,Beijing,8,THU8M14,0.048828125,True,0.31494140625
bird,Beijing,9,THU9M11,0.08544921875,True,0.33203125
house,Beijing,5,THU6F4,0.02734375,True,0.319091796875
airplane,Beijing,8,THU8F36,0.0546875,True,0.280517578125
airplane,Beijing,4,THU4M7,0.04443359375,False,0.28076171875
hat,Beijing,5,THU6M1,0.04541015625,True,0.28759765625
bike,Beijing,8,THU9M1,0.05322265625,False,0.255615234375
chair,Beijing,4,THU4F6,0.04541015625,False,0.2783203125
airplane,Beijing,6,THU6F32,0.0517578125,True,0.306640625
hat,Beijing,8,THU8F13,0.0498046875,True,0.3447265625
house,Beijing,9,THU9M37,0.04931640625,False,0.268310546875
rabbit,Beijing,6,THU6F19,0.0458984375,True,0.303955078125
airplane,Beijing,5,THU5F6,0.033203125,True,0.287841796875
watch,Beijing,4,THU4F09,0.029296875,True,0.304443359375
cat,Beijing,4,THU4M04,0.07666015625,False,0.25341796875
bird,Beijing,8,THU8M37,0.0654296875,True,0.255615234375
chair,Beijing,4,THU4F8,0.04736328125,True,0.316650390625
watch,Beijing,6,THU6F19,0.08837890625,True,0.359375
hat,Beijing,7,THU8M16,0.04296875,True,0.292724609375
tree,Beijing,6,THU6M21,0.06201171875,True,0.284912109375
airplane,Beijing,5,THU6M1,0.07568359375,False,0.273681640625
cup,Beijing,4,THU4M5,0.0185546875,True,0.30859375
airplane,Beijing,5,THU5M3,0.0400390625,False,0.27880859375
car,Beijing,8,THU9M2,0.09326171875,True,0.290283203125
house,Beijing,6,THU6F20,0.0634765625,True,0.295166015625
car,Beijing,8,THU8F34,0.03173828125,True,0.319091796875
bird,Beijing,8,THU8F34,0.0546875,True,0.2998046875
house,Beijing,4,THU4F8,0.048828125,True,0.304931640625
airplane,Beijing,9,THU9M13,0.04150390625,False,0.274169921875
hat,Beijing,9,THU9M15,0.0517578125,False,0.27392578125
